,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,NAME OF ISSUER, TITLE OF CLASS, CUSIP, (x$1000), PRN AMT, PRN, CALL, DISCRETION, MANAGER, SOLE, SHARED, NONE],,,,,,,,
11,2U Inc, Common Stock, 90214J101, 14,179, 188,571, SH,  , OTR,  , 142,150, 0, 46,421],,,,
12,3D Systems Corp, Common Stock, 88554D205, 3,447, 182,377, SH,  , SOLE,  , 182,377, 0, 0],,,,,
13,3M Co, Common Stock, 88579Y101, 67, 319, SH,  , SOLE,  , 319, 0, 0],,,,,,,,
14,Adobe Inc, Common Stock, 00724F101, 11,662, 43,201, SH,  , SOLE,  , 43,201, 0, 0],,,,,
15,Advanced Micro Devices Inc, Common Stock, 007903107, 19,775, 640,180, SH,  , SOLE,  , 640,180, 0, 0],,,,,
16,Aerovironment Inc, Common Stock, 008073108, 11,601, 103,426, SH,  , OTR,  , 41,919, 0, 61,507],,,,
17,Alibaba Group Holding Ltd, ADR, 01609W102, 22,340, 135,592, SH,  , OTR,  , 85,434, 5,329, 44,829],,,
18,Align Technology Inc, Common Stock, 016255101, 4,688, 11,982, SH,  , SOLE,  , 11,982, 0, 0],,,,,
19,Allegheny Technologies Inc, Common Stock, 01741R102, 71, 2,412, SH,  , SOLE,  , 2,412, 0, 0],,,,,,
20,Alphabet Inc, Common Stock, 02079K107, 18,492, 15,494, SH,  , OTR,  , 11,242, 0, 4,252],,,,
21,Amazon.com Inc, Common Stock, 023135106, 76,226, 38,056, SH,  , OTR,  , 29,764, 1,144, 7,148],,,
22,AMETEK Inc, Common Stock, 031100100, 662, 8,369, SH,  , SOLE,  , 8,369, 0, 0],,,,,,
23,ANSYS Inc, Common Stock, 03662Q105, 4,013, 21,497, SH,  , SOLE,  , 21,497, 0, 0],,,,,
24,Apple Inc, Common Stock, 037833100, 60,359, 267,382, SH,  , OTR,  , 203,661, 8,923, 54,798],,,
25,Aptiv PLC, Common Stock, G6095L109, 51,413, 612,785, SH,  , OTR,  , 452,598, 30,231, 129,956],,,
26,AquaBounty Technologies Inc, Common Stock, 03842K200, 794, 247,432, SH,  , SOLE,  , 247,432, 0, 0],,,,,,
27,Arconic Inc, Common Stock, 03965L100, 668, 30,341, SH,  , SOLE,  , 30,341, 0, 0],,,,,,
28,Arcturus Therapeutics Ltd, Common Stock, M1492T105, 6,840, 773,772, SH,  , SOLE,  , 773,772, 0, 0],,,,,
29,Arkema SA, Common Stock, F0392W125, 65, 525, SH,  , SOLE,  , 525, 0, 0],,,,,,,,
30,Arrk Corp, Common Stock, J0198N101, 598, 595,101, SH,  , SOLE,  , 595,101, 0, 0],,,,,,
31,ASX Ltd, Common Stock, Q0604U105, 69, 1,579, SH,  , SOLE,  , 1,579, 0, 0],,,,,,
32,athenahealth Inc, Common Stock, 04685W103, 43, 320, SH,  , SOLE,  , 320, 0, 0],,,,,,,,
33,Attunity Ltd, Common Stock, M15332121, 842, 44,600, SH,  , SOLE,  , 44,600, 0, 0],,,,,,
34,AudioCodes Ltd, Common Stock, M15342104, 692, 68,833, SH,  , SOLE,  , 68,833, 0, 0],,,,,,
35,Autodesk Inc, Common Stock, 052769106, 5,839, 37,402, SH,  , SOLE,  , 37,402, 0, 0],,,,,
36,Baidu Inc, ADR, 056752108, 139,363, 609,422, SH,  , OTR,  , 455,235, 24,303, 129,884],,,
37,Bayer AG, Common Stock, D0712D163, 35, 390, SH,  , OTR,  , 0, 390, 0],,,,,,,,
38,BeiGene Ltd, ADR, 07725L102, 3,480, 20,207, SH,  , SOLE,  , 20,207, 0, 0],,,,,
39,Bellicum Pharmaceuticals Inc, Common Stock, 079481107, 3,636, 590,214, SH,  , SOLE,  , 590,214, 0, 0],,,,,
40,Bertrandt AG, Common Stock, D1014N107, 549, 5,947, SH,  , SOLE,  , 5,947, 0, 0],,,,,,
41,Bezeq The Israeli Telecommunic, Common Stock, M2012Q100, 584, 503,466, SH,  , SOLE,  , 503,466, 0, 0],,,,,,
42,Biogen Inc, Common Stock, 09062X103, 7,949, 22,498, SH,  , SOLE,  , 22,498, 0, 0],,,,,
43,Bitcoin Investment Trust, Open-End Fund, 09173T108, 14,345, 1,806,723, SH,  , OTR,  , 540,935, 544,031, 721,757],,
44,Bluebird Bio Inc, Common Stock, 09609G100, 58,494, 400,644, SH,  , OTR,  , 294,186, 17,666, 88,792],,,
45,Bristol-Myers Squibb Co, Common Stock, 110122108, 3,432, 55,283, SH,  , SOLE,  , 55,283, 0, 0],,,,,
46,Camtek Ltd/Israel, Common Stock, M20791105, 583, 68,052, SH,  , SOLE,  , 68,052, 0, 0],,,,,,
47,Carpenter Technology Corp, Common Stock, 144285103, 67, 1,139, SH,  , SOLE,  , 1,139, 0, 0],,,,,,
48,Cboe Global Markets Inc, Common Stock, 12503M108, 51, 535, SH,  , SOLE,  , 535, 0, 0],,,,,,,,
49,Celgene Corp, Common Stock, 151020104, 13,239, 147,935, SH,  , SOLE,  , 147,935, 0, 0],,,,,
50,Cellcom Israel Ltd, Common Stock, M2196U109, 654, 94,696, SH,  , SOLE,  , 94,696, 0, 0],,,,,,
51,Cellectis SA, ADR, 15117K103, 11,120, 394,042, SH,  , OTR,  , 364,877, 29,165, 0],,,,
